source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
EndothelialCells,SmoothMuscleCells,Pdgfb,Lrp1,0.9293297,0.0,0.7532367,0.3358820678215415,0.83138086194603,0.10166163,0.82253075,0.028541536280802495,0.15530016112917425, ,cyan,0.464137268387394,brown,0.561942294262648,False,True,True
Leukocytes,EndothelialCells,Icam1,Cav1,1.1214672,0.0,0.66465753,0.4815042676306409,0.7941172453998195,0.049081188,0.81321466,0.0875164395100274,0.1556161701669906, ,,,brown,0.884758647437185,False,True,True
Myocytes,Myocytes,App,Rpsa,0.9657445,1.0,0.6641411,-1.0710650987378698,-0.7177758791766559,0.010457326,0.81315553,1.0,0.15609076435423141, ,greenyellow,0.498943422270878,tan,0.206618269537133,False,True,True
EndocardialCells,Leukocytes,Dcn,Tlr2,0.9284291,0.0,0.85181695,0.7486208777955503,0.7663172049862947,0.19183132,0.8313303,0.028541536280802495,0.1562491044427778, ,brown,0.508954513143233,turquoise,0.62716224803749,True,False,True
SmoothMuscleCells,EndothelialCells,Gpc3,Cd81,1.0723263,0.0,0.66390175,0.5141131693344723,0.44690775424823503,0.11777182,0.8131282,0.028541536280802495,0.1562491044427778, ,yellow,0.626181888304277,black,0.944620863486086,True,False,True
Myocytes,Myocytes,Psen1,Notch1,0.14469214,1.0,0.01739591,-0.446096578401446,-0.7423375970973782,0.0026442343,0.41326514,1.0,0.15667090776110032, ,tan,0.493293969025575,green,0.340818001122301,True,False,True
EndocardialCells,Leukocytes,Tfpi,Sdc4,0.9271525,0.0,0.73440784,0.6117795442068235,0.7068438964722028,0.08867348,0.8206755,0.028541536280802495,0.1570418373950388, ,brown,0.667671842240135,,,True,False,True
Leukocytes,Leukocytes,Gnai2,S1pr1,1.0180402,1.0,0.663144,0.03584466564597605,-0.21480159617487876,0.021821745,0.8130414,1.0,0.1570418373950388, ,turquoise,0.515281533766225,lightcyan,0.295561659818741,False,True,True
SmoothMuscleCells,EndocardialCells,Vtn,Cd47,0.9269794,0.0,0.8587911,1.254009484411117,0.9153948789413703,0.16216269,0.8319012,0.008266048334161523,0.15720060318540147, ,brown,0.715989746853182,black,0.80126067900723,True,False,True
Fibroblasts,SmoothMuscleCells,Fam3c,Lamp1,0.9263542,1.0,0.7261871,-0.23079196513346345,-0.2098211098691164,0.027384704,0.8198457,1.0,0.1578363752216712, ,cyan,0.433415911390062,yellow,0.307810456078744,False,True,True
SmoothMuscleCells,Myocytes,Ntn1,Unc5b,0.1440959,1.0,0.017433638,-0.41471510431564723,-0.8459251296651086,0.0033039155,0.41352782,1.0,0.15795303348513548, ,tan,0.0269384866982683,,,True,False,True
