,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Agrn^Lrp4,7.594809489822708e-21,0.008994523409168084,0.0013002278491217117,2.0853916629854313e-15,0.022926611999438948,0.004332260133112738,4.871446807805914e-10,0.004148816342225365
Ahsg^Insr,0.0031993245520646673,0.022356739229818776,1.1579916290627662e-06,0.04282477415755604,0.008168277398849615,0.03717568656679064,3.888712806646856e-07,2.708804826512098e-07
Alcam^Nrp1,0.00025625977909627187,4.843966468957144e-19,0.005634914443075876,1.281569330624243e-11,1.3493740119299607e-12,0.05455681568895578,0.07779416036271085,0.001020824499708467
Ang^Egfr,0.002756574618832803,1.405838143432204e-20,5.028309232887419e-37,7.628783804082422e-19,0.00020110007273949795,0.0006895930531034965,0.005574305066513712,0.03331473545030938
Ang^Plxnb2,0.02575357847515304,5.572498801398774e-08,4.670045943554479e-15,0.018638487785627145,2.907380288711958e-05,0.026712582262230642,0.032752517053764106,0.019755724613004066
Angpt1^Itga5,0.01031870533587107,1.0761133113315599e-23,0.042439375232652274,0.016143549024112285,0.0003342752750018876,0.0016891723455258842,1.2609264477537445e-25,0.030392739248378094
Angpt1^Itgb1,0.023696996078606095,1.8315281957526825e-22,0.09138439337868962,0.04821408246404162,0.0005257376804846365,0.004627149432573676,4.21502374042546e-24,0.06402799249854048
Angpt1^Tek,3.0340337072092357e-22,6.317142124913389e-23,0.08529363955059442,2.88872363474949e-07,0.0006189097207538216,5.769783223799509e-06,1.4103853658725523e-27,0.03231810083770458
Angpt1^Tie1,1.4929607768392365e-07,1.334287043551368e-23,0.09529072404293704,0.002798511494692352,1.662821316461387e-05,1.9832355163883647e-05,2.7013018066853945e-28,0.0003849542280514547
Angpt2^Itga5_Itgb1,0.01217628732469305,0.022259046021044487,0.025611615908783282,0.014693516182520468,0.01965001137089257,0.00021045947308354567,3.1220357137921573e-25,0.015039509577900331
Angpt2^Tek,5.716707457988785e-30,0.04398040680981135,0.05381358653383458,4.977729769466632e-10,0.013070838958837904,2.983869926697017e-08,6.616668789651654e-26,0.017345850484716742
Angpt2^Tie1,8.573030284281478e-15,0.050163386815136816,0.061441471776477706,1.079037817492782e-06,4.909354176857354e-11,2.4266500443442193e-09,2.519145198819884e-27,2.568928830947139e-05
Angptl1^Itga1_Itgb1,1.1348392888634508e-39,0.0064422797036012,0.006237558681399728,0.003223672855907908,1.2708431975528407e-09,0.02445656916023279,2.1017132546376916e-26,9.343686488382321e-06
Angptl1^Tek,1.334872079453396e-44,0.012818406298440357,0.007684570504460692,2.4257943156075548e-12,0.0001381266401982933,0.03315384828482662,6.400167999417055e-25,0.0023224188219382164
Angptl2^Itga5_Itgb1,0.018928932900591937,3.583300357078299e-05,0.054226130542629966,0.02139207202431125,0.0032506872201224757,0.022243563554411858,2.084770216293083e-29,0.04662118783846793
Angptl2^Tie1,6.352084751477521e-05,3.770801759884879e-07,0.1456185026082738,0.0034278079938024845,2.2369202749293644e-05,0.00967216377663284,4.3039848793285675e-34,0.0005949147632322937
Angptl2^Tlr4,0.026580273472476035,9.077463275923762e-05,0.014357192691165048,0.004043254438224108,0.0015170494578756858,0.015874183585646826,4.761528337572042e-31,0.025167767353995632
Angptl4^Cdh11,1.5736736558372056e-45,0.010352176518353927,0.013536015262751342,3.413086837712529e-22,0.0028400407868530344,0.007880762394590806,4.865215267687507e-25,0.0013579210936173194
Angptl4^Cdh5,0.0009728951003236716,0.023691684042473658,0.04220401512006982,4.7792928006254746e-05,3.056981831971994e-05,0.015268898149078775,2.635261171228558e-28,9.013728709052911e-07
Angptl4^Itga5_Itgb1,0.00560830841090638,0.011145069067717445,0.011439877325921732,0.004458789831190753,0.012999550838754346,0.018344927357675483,6.284107588121784e-23,0.006876289052129995
