"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1183","Fibroblasts","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","5/73","21/13010",0.238095238095238,42.4331376386171,14.2736883269007,9.18377349147932e-08,5.47659025875217e-05,4.80456360554234e-05,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
"1184","Fibroblasts","GO:0002478","antigen processing and presentation of exogenous peptide antigen","5/73","26/13010",0.192307692307692,34.27291886196,12.7567463232773,2.90469053241533e-07,0.000129912284062276,0.000113970883785033,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
"1185","Fibroblasts","GO:0019884","antigen processing and presentation of exogenous antigen","5/73","33/13010",0.151515151515152,27.0029057700291,11.234617677274,1.01651467842447e-06,0.000363708951940275,0.000319078607480186,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
"1186","Fibroblasts","GO:0006959","humoral immune response","7/73","141/13010",0.049645390070922,8.84776061400952,7.03800386002507,1.35727935235088e-05,0.00404695460225954,0.00355035704272835,"C1qb/C1qc/Ccl6/Cfp/Gimap5/S100a9/Vsig4",7,"royalblue","GO_BP"
"1187","Fibroblasts","GO:0048002","antigen processing and presentation of peptide antigen","5/73","59/13010",0.0847457627118644,15.1033201764569,8.15572019052213,1.91465339681663e-05,0.00489330703843564,0.0042928544581257,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
"1188","Fibroblasts","GO:0007159","leukocyte cell-cell adhesion","10/73","355/13010",0.028169014084507,5.02025853752653,5.76904175772996,2.71512900521503e-05,0.00607170723791211,0.00532665440365212,"Cd74/Gimap5/Gpr65/H2-Aa/H2-Ab1/H2-Eb1/Nt5e/S100a8/S100a9/Vsig4",10,"royalblue","GO_BP"
"1189","Fibroblasts","GO:0006956","complement activation","4/73","35/13010",0.114285714285714,20.3679060665362,8.61845874096369,4.1873600452925e-05,0.00832354124558699,0.00730216821933465,"C1qb/C1qc/Cfp/Vsig4",4,"royalblue","GO_BP"
"1190","Fibroblasts","GO:0002396","MHC protein complex assembly","3/73","14/13010",0.214285714285714,38.1898238747554,10.4580300633037,5.90177048789362e-05,0.00959842491167426,0.00842061224636305,"H2-Aa/H2-Ab1/H2-Eb1",3,"royalblue","GO_BP"
"1191","Fibroblasts","GO:0002501","peptide antigen assembly with MHC protein complex","3/73","14/13010",0.214285714285714,38.1898238747554,10.4580300633037,5.90177048789362e-05,0.00959842491167426,0.00842061224636305,"H2-Aa/H2-Ab1/H2-Eb1",3,"royalblue","GO_BP"
"1192","Fibroblasts","GO:0050866","negative regulation of cell activation","7/73","183/13010",0.0382513661202186,6.81712703046635,5.95303098546318,7.2354976930617e-05,0.0107869211440728,0.00946326935118859,"Alox12/Cd74/Gimap5/H2-Aa/Pdgfb/Tyrobp/Vsig4",7,"royalblue","GO_BP"
"1193","Fibroblasts","GO:0060326","cell chemotaxis","8/73","254/13010",0.031496062992126,5.61320245928163,5.57736048895951,8.49507689980062e-05,0.0116905327490333,0.0102559997227552,"Ccl6/Cd74/Cxcr4/Fcer1g/Mmp9/Pdgfb/S100a8/S100a9",8,"royalblue","GO_BP"
"1194","Fibroblasts","GO:0010543","regulation of platelet activation","4/73","44/13010",0.0909090909090909,16.2017434620174,7.58723134917466,0.000104502743939994,0.0133539577791892,0.0117153076101151,"Alox12/Fcer1g/Pdgfb/Vwf",4,"royalblue","GO_BP"
"1195","Fibroblasts","GO:0016064","immunoglobulin mediated immune response","5/73","91/13010",0.0549450549450549,9.79226253198856,6.32227659913081,0.000154755040038494,0.0182187238593113,0.0159831233410215,"C1qb/C1qc/Cd74/Fcer1g/Gimap5",5,"royalblue","GO_BP"
